stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\danis\source\repos\DanielBaptista24285611\PI---Grupo-Austr-lia\ConsoleApplication1\x64\Debug\allegro5.cfg r
display  D   display_settings.c:529  _al_score_display_settings       [   2.90209] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   2.90225] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.90248] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   2.90266] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   2.90282] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.90303] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   2.90324] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.90340] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.90359] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.90383] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.90426] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.90458] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.90509] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.90527] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   2.90547] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.90563] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   2.90581] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.90595] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.90610] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.90627] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.90643] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.90664] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.90684] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.90701] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   2.90721] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.90765] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   2.90788] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.90877] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.90938] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.90960] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.91035] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.91093] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.91150] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.91197] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   2.91261] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.91327] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   2.91384] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.91405] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.91487] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.91551] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.91616] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.91954] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.93476] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.95008] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   2.98655] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.00971] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.01548] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.01575] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.02166] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.04423] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.06217] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.08030] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.10419] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.10635] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.13455] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.17881] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.19234] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.19913] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.20064] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.20160] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.20234] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.20301] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.20370] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.20441] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.20509] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.20570] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.20630] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.20689] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.20759] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.20826] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.20896] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.20922] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.20966] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.21031] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.21064] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.21091] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.21154] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.21175] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.21260] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.21310] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.21357] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.21414] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.21490] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1677 d3d_create_display_internals     [   3.21549] Trying format 0.
d3d      I         d3d_disp.cpp:1353 d3d_display_thread_proc          [   3.24679] Chose a display format: 23
d3d      I         d3d_disp.cpp:1422 d3d_display_thread_proc          [   3.24875] Normal window.
d3d      I         d3d_disp.cpp:786  d3d_create_device                [   3.28178] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:848  d3d_create_device                [   3.40871] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:856  d3d_create_device                [   3.40887] Success
d3d      D         d3d_disp.cpp:1703 d3d_create_display_internals     [   3.40899] Resumed after wait.
d3d      I         d3d_disp.cpp:1736 d3d_create_display_internals     [   3.40926] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1767 d3d_create_display_internals     [   3.40956] Returning d3d_display: 000002BBABF962C0
d3d      D         d3d_disp.cpp:1792 d3d_create_display_locked        [   3.40976] al_display=000002BBABF962C0
d3d      D         d3d_disp.cpp:1793 d3d_create_display_locked        [   3.40997] al_display->vt=000002BBABF6A320
system   D            wsystem.c:836  maybe_parent_dir                 [   3.41076] Also searching C:\Users\danis\source\repos\DanielBaptista24285611\PI---Grupo-Austr-lia\ConsoleApplication1\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   3.41148] PathFindOnPath found: C:\Windows\system32\d3dx9_43.dll
system   D            wsystem.c:797  load_library_at_path             [   3.41161] Calling LoadLibrary C:\Windows\system32\d3dx9_43.dll
system   I            wsystem.c:800  load_library_at_path             [   3.41435] Loaded C:\Windows\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   3.41452] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:196  _al_register_destructor          [   3.41601] added dtor for bitmap 000002BBAE3AD800, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.41697] added dtor for bitmap 000002BBAE3C7520, func 00007FFBCE65118B
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   3.42111] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   3.42124] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   3.42131] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   3.42139] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   3.42146] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   3.42153] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   3.42160] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   3.42167] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   3.42175] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   3.42181] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   3.42189] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   3.42197] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   3.42204] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   3.42305] added dtor for bitmap 000002BBAE3E1580, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.42348] added dtor for sub_bitmap 000002BBAE43F020, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.42362] added dtor for sub_bitmap 000002BBAE43F210, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.42379] added dtor for sub_bitmap 000002BBAE43F400, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.42553] added dtor for sub_bitmap 000002BBAE43F5F0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.42585] added dtor for sub_bitmap 000002BBAE43F7E0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.42606] added dtor for sub_bitmap 000002BBAE43F9D0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.42633] added dtor for sub_bitmap 000002BBAE43FBC0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.42665] added dtor for sub_bitmap 000002BBAE43FDB0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.42685] added dtor for sub_bitmap 000002BBAE43FFA0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.42697] added dtor for sub_bitmap 000002BBAE440190, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.42711] added dtor for sub_bitmap 000002BBAE440380, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.42723] added dtor for sub_bitmap 000002BBAE4405C0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.42732] added dtor for sub_bitmap 000002BBAE441350, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.42741] added dtor for sub_bitmap 000002BBAE440F70, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.42748] added dtor for sub_bitmap 000002BBAE4407B0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.42756] added dtor for sub_bitmap 000002BBAE441160, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.42763] added dtor for sub_bitmap 000002BBAE4409A0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.42770] added dtor for sub_bitmap 000002BBAE440B90, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.42779] added dtor for sub_bitmap 000002BBAE440D80, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.42789] added dtor for sub_bitmap 000002BBAE441D90, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.42797] added dtor for sub_bitmap 000002BBAE4430F0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.42805] added dtor for sub_bitmap 000002BBAE4415D0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.42817] added dtor for sub_bitmap 000002BBAE4432E0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.42828] added dtor for sub_bitmap 000002BBAE4417C0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.42839] added dtor for sub_bitmap 000002BBAE441BA0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.42847] added dtor for sub_bitmap 000002BBAE442930, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.42855] added dtor for sub_bitmap 000002BBAE442360, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.42863] added dtor for sub_bitmap 000002BBAE4419B0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.43446] added dtor for sub_bitmap 000002BBAE442B20, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.43512] added dtor for sub_bitmap 000002BBAE442D10, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.43524] added dtor for sub_bitmap 000002BBAE442F00, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.43868] added dtor for sub_bitmap 000002BBAE441F80, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.43894] added dtor for sub_bitmap 000002BBAE442170, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.43903] added dtor for sub_bitmap 000002BBAE442550, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.43915] added dtor for sub_bitmap 000002BBAE442740, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.44407] added dtor for sub_bitmap 000002BBAE446FB0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.44609] added dtor for sub_bitmap 000002BBAE448120, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.44621] added dtor for sub_bitmap 000002BBAE446600, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.44635] added dtor for sub_bitmap 000002BBAE448310, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.44646] added dtor for sub_bitmap 000002BBAE447F30, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.44667] added dtor for sub_bitmap 000002BBAE4467F0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.44691] added dtor for sub_bitmap 000002BBAE447D40, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.44725] added dtor for sub_bitmap 000002BBAE447390, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.44839] added dtor for sub_bitmap 000002BBAE4469E0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.44852] added dtor for sub_bitmap 000002BBAE446BD0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.44896] added dtor for sub_bitmap 000002BBAE446DC0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.44905] added dtor for sub_bitmap 000002BBAE4471A0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.45056] added dtor for sub_bitmap 000002BBAE447580, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.45174] added dtor for sub_bitmap 000002BBAE447770, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.45269] added dtor for sub_bitmap 000002BBAE447960, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.45287] added dtor for sub_bitmap 000002BBAE447B50, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.45306] added dtor for sub_bitmap 000002BBAE449590, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.45322] added dtor for sub_bitmap 000002BBAE448610, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.45403] added dtor for sub_bitmap 000002BBAE449B60, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.45472] added dtor for sub_bitmap 000002BBAE448800, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.45489] added dtor for sub_bitmap 000002BBAE448BE0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.45500] added dtor for sub_bitmap 000002BBAE4491B0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.45512] added dtor for sub_bitmap 000002BBAE44A130, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.45539] added dtor for sub_bitmap 000002BBAE4493A0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.45559] added dtor for sub_bitmap 000002BBAE4489F0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.45572] added dtor for sub_bitmap 000002BBAE449780, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.45590] added dtor for sub_bitmap 000002BBAE448FC0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.45605] added dtor for sub_bitmap 000002BBAE449D50, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.45629] added dtor for sub_bitmap 000002BBAE44A320, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.45642] added dtor for sub_bitmap 000002BBAE449970, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.45666] added dtor for sub_bitmap 000002BBAE449F40, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.45683] added dtor for sub_bitmap 000002BBAE448DD0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.45698] added dtor for sub_bitmap 000002BBAE44C7C0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.45727] added dtor for sub_bitmap 000002BBAE44D550, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46048] added dtor for sub_bitmap 000002BBAE44BC20, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46064] added dtor for sub_bitmap 000002BBAE44C3E0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46076] added dtor for sub_bitmap 000002BBAE44BE10, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46093] added dtor for sub_bitmap 000002BBAE44C1F0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46113] added dtor for sub_bitmap 000002BBAE44C5D0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46128] added dtor for sub_bitmap 000002BBAE44BA30, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46148] added dtor for sub_bitmap 000002BBAE44CBA0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46170] added dtor for sub_bitmap 000002BBAE44D740, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46188] added dtor for sub_bitmap 000002BBAE44C9B0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46201] added dtor for sub_bitmap 000002BBAE44C000, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46226] added dtor for sub_bitmap 000002BBAE44CD90, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46243] added dtor for sub_bitmap 000002BBAE44CF80, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46257] added dtor for sub_bitmap 000002BBAE44D170, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46270] added dtor for sub_bitmap 000002BBAE44D360, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46289] added dtor for sub_bitmap 000002BBAE44F180, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46301] added dtor for sub_bitmap 000002BBAE44EDA0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46317] added dtor for sub_bitmap 000002BBAE44E7D0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46336] added dtor for sub_bitmap 000002BBAE44F750, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46359] added dtor for sub_bitmap 000002BBAE44E010, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46383] added dtor for sub_bitmap 000002BBAE44EF90, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46399] added dtor for sub_bitmap 000002BBAE44E5E0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46424] added dtor for sub_bitmap 000002BBAE44F370, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46453] added dtor for sub_bitmap 000002BBAE44E3F0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46467] added dtor for sub_bitmap 000002BBAE44E200, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46484] added dtor for sub_bitmap 000002BBAE44F560, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46498] added dtor for sub_bitmap 000002BBAE44DA40, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46520] added dtor for sub_bitmap 000002BBAE44DC30, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46546] added dtor for sub_bitmap 000002BBAE44E9C0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46562] added dtor for sub_bitmap 000002BBAE44DE20, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46575] added dtor for sub_bitmap 000002BBAE44EBB0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46599] added dtor for sub_bitmap 000002BBAE453AB0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46625] added dtor for sub_bitmap 000002BBAE4534E0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46641] added dtor for sub_bitmap 000002BBAE451DA0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46662] added dtor for sub_bitmap 000002BBAE452F10, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46719] added dtor for sub_bitmap 000002BBAE453100, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46741] added dtor for sub_bitmap 000002BBAE452180, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46768] added dtor for sub_bitmap 000002BBAE452370, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46792] added dtor for sub_bitmap 000002BBAE452D20, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46812] added dtor for sub_bitmap 000002BBAE4538C0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46826] added dtor for sub_bitmap 000002BBAE452560, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46846] added dtor for sub_bitmap 000002BBAE4532F0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46867] added dtor for sub_bitmap 000002BBAE4536D0, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46880] added dtor for sub_bitmap 000002BBAE452B30, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46903] added dtor for sub_bitmap 000002BBAE452940, func 00007FFBCE65118B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46927] added dtor for sub_bitmap 000002BBAE451F90, func 00007FFBCE65118B
