stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\Diogo.DESKTOP-8OCSMG7\Documents\Opa\PI---Grupo-Austr-lia\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   3.13033] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   3.13043] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   3.13052] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   3.13061] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   3.13070] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.13081] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   3.13091] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.13100] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   3.13110] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.13119] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   3.13128] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   3.13138] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   3.13150] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   3.13161] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   3.13171] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.13181] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   3.13189] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.13198] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   3.13208] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.13218] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   3.13225] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   3.13234] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   3.13243] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   3.13251] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   3.13265] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.13282] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   3.13293] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.13304] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   3.13312] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.13324] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   3.13335] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   3.13387] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   3.13398] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   3.13414] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   3.13423] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.13433] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   3.13444] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.13457] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   3.13467] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.13480] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   3.13491] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.13500] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.13509] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.13520] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.13534] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.13546] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.13556] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.13566] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.13575] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.13584] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.13593] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.13603] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.13612] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.13623] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.13634] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.13646] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.13657] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.13669] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.13680] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.13691] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.13701] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.13710] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.13719] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.13730] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.13739] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.13751] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.13762] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.13774] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.13785] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.13797] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.13806] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.13818] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.13827] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.13837] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.13848] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.13860] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.13873] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.13888] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.13900] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.13914] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.13924] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.13937] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.13947] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.13974] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.13996] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.14013] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.14028] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.14040] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.14052] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.14070] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.14079] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.14092] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.14103] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.14122] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.14134] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.14145] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.14160] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.14172] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.14184] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.14198] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.14207] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.14219] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.14231] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.14242] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.14252] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.14263] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.14276] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.14286] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.14294] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.14306] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.14317] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.14328] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.14336] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.14348] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.14358] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.14369] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.14377] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.14390] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.14405] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.14414] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.14426] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   3.14438] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   3.14447] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   3.14458] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   3.14470] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.14481] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   3.14490] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.14502] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   3.14515] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.14526] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   3.14537] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   3.14546] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   3.14554] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   3.14565] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   3.14576] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.14591] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   3.14601] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.14610] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   3.14620] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.14630] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   3.14640] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   3.14651] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   3.14660] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   3.14671] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   3.14680] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.14693] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   3.14704] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.14716] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   3.14725] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.14735] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   3.14745] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   3.14758] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   3.14768] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   3.14780] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   3.14792] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.14801] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   3.14810] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.14821] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   3.14830] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.14840] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   3.14849] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   3.14861] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   3.14873] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   3.14885] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   3.14897] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.14908] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   3.14915] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.14924] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   3.14931] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.14941] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   3.14950] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   3.14959] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   3.14969] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   3.14979] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   3.14989] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.14998] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   3.15007] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.15017] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   3.15025] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.15035] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   3.15043] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   3.15051] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   3.15058] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   3.15068] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   3.15077] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.15085] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   3.15093] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.15101] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   3.15109] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.15117] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   3.15127] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   3.15136] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   3.15144] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   3.15153] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   3.15162] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.15171] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   3.15179] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.15190] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   3.15199] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   3.15209] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   3.15218] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.15227] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.15236] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.15245] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.15253] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.15262] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.15271] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.15281] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.15290] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.15298] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.15307] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.15315] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.15325] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.15334] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.15343] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.15353] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.15362] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.15372] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.15381] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.15391] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.15400] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.15408] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.15417] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.15427] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.15436] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.15445] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.15454] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.15464] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.15474] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.15486] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.15495] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.15506] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.15515] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.15524] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.15532] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.15542] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.15552] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.15562] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.15572] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.15582] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.15590] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.15600] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.15609] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.15622] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.15637] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.15646] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.15655] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.15668] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.15677] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   3.15686] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.15695] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.15704] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   3.15711] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   3.15723] Single Buffer requirement not met.
